pca_components,min_cluster_size,min_samples,method,n_clusters,n_noise,coverage,dbcv,final_score
2,30,5,eom,2,743,0.4674,0.0,0.0
2,30,10,eom,2,1062,0.2387,0.0002,0.0001
2,30,15,eom,2,968,0.3061,0.0007,0.0002
2,30,25,eom,2,1054,0.2444,0.0002,0.0
2,50,5,eom,2,1099,0.2122,0.0,0.0
2,50,10,eom,2,1062,0.2387,0.0002,0.0001
2,50,15,eom,2,968,0.3061,0.0007,0.0002
2,50,25,eom,2,1054,0.2444,0.0002,0.0
2,75,5,eom,0,1395,0.0,0.0,0.0
2,75,10,eom,2,1062,0.2387,0.0002,0.0001
2,75,15,eom,2,968,0.3061,0.0007,0.0002
2,75,25,eom,0,1395,0.0,0.0,0.0
2,100,5,eom,0,1395,0.0,0.0,0.0
2,100,10,eom,0,1395,0.0,0.0,0.0
2,100,15,eom,2,968,0.3061,0.0007,0.0002
2,100,25,eom,0,1395,0.0,0.0,0.0
2,150,5,eom,0,1395,0.0,0.0,0.0
2,150,10,eom,0,1395,0.0,0.0,0.0
2,150,15,eom,0,1395,0.0,0.0,0.0
2,150,25,eom,0,1395,0.0,0.0,0.0
5,30,5,eom,2,1166,0.1642,0.0001,0.0
5,30,10,eom,2,1253,0.1018,0.0001,0.0
5,30,15,eom,2,1266,0.0925,0.0,0.0
5,30,25,eom,2,1298,0.0695,0.0001,0.0
5,50,5,eom,2,1166,0.1642,0.0001,0.0
5,50,10,eom,2,1253,0.1018,0.0001,0.0
5,50,15,eom,2,1266,0.0925,0.0,0.0
5,50,25,eom,0,1395,0.0,0.0,0.0
5,75,5,eom,2,1166,0.1642,0.0001,0.0
5,75,10,eom,0,1395,0.0,0.0,0.0
5,75,15,eom,0,1395,0.0,0.0,0.0
5,75,25,eom,0,1395,0.0,0.0,0.0
5,100,5,eom,0,1395,0.0,0.0,0.0
5,100,10,eom,0,1395,0.0,0.0,0.0
5,100,15,eom,0,1395,0.0,0.0,0.0
5,100,25,eom,0,1395,0.0,0.0,0.0
5,150,5,eom,0,1395,0.0,0.0,0.0
5,150,10,eom,0,1395,0.0,0.0,0.0
5,150,15,eom,0,1395,0.0,0.0,0.0
5,150,25,eom,0,1395,0.0,0.0,0.0
10,30,5,eom,2,1311,0.0602,0.0,0.0
10,30,10,eom,2,1259,0.0975,0.0,0.0
10,30,15,eom,2,1309,0.0616,0.0002,0.0
10,30,25,eom,0,1395,0.0,0.0,0.0
10,50,5,eom,0,1395,0.0,0.0,0.0
10,50,10,eom,2,1259,0.0975,0.0,0.0
10,50,15,eom,0,1395,0.0,0.0,0.0
10,50,25,eom,0,1395,0.0,0.0,0.0
10,75,5,eom,0,1395,0.0,0.0,0.0
10,75,10,eom,0,1395,0.0,0.0,0.0
10,75,15,eom,0,1395,0.0,0.0,0.0
10,75,25,eom,0,1395,0.0,0.0,0.0
10,100,5,eom,0,1395,0.0,0.0,0.0
10,100,10,eom,0,1395,0.0,0.0,0.0
10,100,15,eom,0,1395,0.0,0.0,0.0
10,100,25,eom,0,1395,0.0,0.0,0.0
10,150,5,eom,0,1395,0.0,0.0,0.0
10,150,10,eom,0,1395,0.0,0.0,0.0
10,150,15,eom,0,1395,0.0,0.0,0.0
10,150,25,eom,0,1395,0.0,0.0,0.0
16,30,5,eom,2,1279,0.0832,0.0002,0.0
16,30,10,eom,2,1313,0.0588,0.0,0.0
16,30,15,eom,0,1395,0.0,0.0,0.0
16,30,25,eom,0,1395,0.0,0.0,0.0
16,50,5,eom,0,1395,0.0,0.0,0.0
16,50,10,eom,0,1395,0.0,0.0,0.0
16,50,15,eom,0,1395,0.0,0.0,0.0
16,50,25,eom,0,1395,0.0,0.0,0.0
16,75,5,eom,0,1395,0.0,0.0,0.0
16,75,10,eom,0,1395,0.0,0.0,0.0
16,75,15,eom,0,1395,0.0,0.0,0.0
16,75,25,eom,0,1395,0.0,0.0,0.0
16,100,5,eom,0,1395,0.0,0.0,0.0
16,100,10,eom,0,1395,0.0,0.0,0.0
16,100,15,eom,0,1395,0.0,0.0,0.0
16,100,25,eom,0,1395,0.0,0.0,0.0
16,150,5,eom,0,1395,0.0,0.0,0.0
16,150,10,eom,0,1395,0.0,0.0,0.0
16,150,15,eom,0,1395,0.0,0.0,0.0
16,150,25,eom,0,1395,0.0,0.0,0.0
16(auto),30,5,eom,2,1279,0.0832,0.0002,0.0
16(auto),30,10,eom,2,1313,0.0588,0.0,0.0
16(auto),30,15,eom,0,1395,0.0,0.0,0.0
16(auto),30,25,eom,0,1395,0.0,0.0,0.0
16(auto),50,5,eom,0,1395,0.0,0.0,0.0
16(auto),50,10,eom,0,1395,0.0,0.0,0.0
16(auto),50,15,eom,0,1395,0.0,0.0,0.0
16(auto),50,25,eom,0,1395,0.0,0.0,0.0
16(auto),75,5,eom,0,1395,0.0,0.0,0.0
16(auto),75,10,eom,0,1395,0.0,0.0,0.0
16(auto),75,15,eom,0,1395,0.0,0.0,0.0
16(auto),75,25,eom,0,1395,0.0,0.0,0.0
16(auto),100,5,eom,0,1395,0.0,0.0,0.0
16(auto),100,10,eom,0,1395,0.0,0.0,0.0
16(auto),100,15,eom,0,1395,0.0,0.0,0.0
16(auto),100,25,eom,0,1395,0.0,0.0,0.0
16(auto),150,5,eom,0,1395,0.0,0.0,0.0
16(auto),150,10,eom,0,1395,0.0,0.0,0.0
16(auto),150,15,eom,0,1395,0.0,0.0,0.0
16(auto),150,25,eom,0,1395,0.0,0.0,0.0
